(dot)connect	light	Swiss engineering blueprint with a single ember	AeonikPro, DotConnect	#fcfbf8 #001011 #0f1e1f #ededea	swiss,architecture,corporate,travel,tech,construction,automotive
099 SUPPLY	light	Gallery wall of black-on-white objects	Soehne Mono	#ffffff #101010 #000000 #222222	minimal,education,monochrome,science,space,museum,logistics
10X HUB	both	ink and ember poster wall	Arial, 10X Display (custom — madefor-text variant)	#ff1841 #7b0016 #000000 #ffffff	developer
11x– Digital workers	both	Cinematic editorial desert — full-bleed terrain photography against monumental serif headl	ES Allianz	#000000 #ffffff #0b252a #f6f5f5	cinematic,industrial,tech,portfolio,gaming,developer,dashboard
12th Berlin Biennale for Contemporary Art	light	Iris-and-ink broadsheet — violet skies over monumental black type on white paper.	ABCMonumentGrotesk, BradfordLL	#7373ff #23234d #000000 #ffffff	brutalist,museum
14islands	light	Monochrome editorial gallery — A pristine gallery wall where oversized black typography an	BentonSans, AftenScreen	#070707 #ffffff #f2f2f2 #a2a2a9	editorial,brutalist,photography,typography,monochrome
15five	light	Sunrise over a clean desk	DM Serif Display, Manrope	#2f115b #1a0d3f #3b1572 #5e5777	colorful,pastel,friendly,education,light,gradient,productivity
19–86	light	Monumental numerals on white ledger	store_norske_ja_light	#000000 #ffffff	swiss,typography
1Password	both	Secure Airlock Behind Glass. A system that moves from the protective dark of an airlock to	agileSans, ui-sans-serif	#145fe4 #145fe4 #ffffff #000000	swiss,saas,legal,insurance,security
2.AG	light	Clinical apothecary under teal light — a measured, prescriptive wellness brand that treats	Inter Tight, Inter	#244d54 #2ecea0 #6dddbd #000000	healthcare,clinical,organic,wellness,insurance,pharma,consulting
2020	light	Solid color poster wall. A single saturated color fills the viewport like painted drywall,	Helvetica LT Pro, Helvetica	#e4822e #4f503e #b13225 #c97f40	music,blog,news
21 TSI	dark	Crimson void, single silhouette — a high-fashion editorial spread where the UI dissolves i	Saans	#000000 #ffffff #4d4d4d #b62b1a	cinematic,luxury,fashion,brutalist,photography,monochrome
21n	light	Open atlas under pale daylight — a spacious, light-mode canvas where knowledge tools feel 	Sen	#ffffff #f9f9fb #eff0f6 #e5e7eb	children,natural,tech,education,light,warm,science
601 Inc.	dark	warm film marquee in darkness	changeling-neo	#ece4b4 #4f4d3c #000000	dark,cinematic,photography,monochrome,retro,museum
70Materia	light	Architectural sample board on white paper — the UI is the mount, never the artwork.	Matter, Matter Mono	#000000 #ffffff #1e1e1e #bababa	minimal,architecture,organic,natural,brutalist,construction,food
7shifts	light	warm diner counter with neon chalk accents — a bright restaurant counter where indigo butt	Regular, A geometric grotesque sans-serif (custom-marketed as the site font — Inter, Manrope, or DM Sans are close substitutes)	#4570ff #ff6808 #c6ff94 #ebdcff	healthcare,playful,hospitality,restaurant,saas,colorful,friendly
8returns	both	Lime spark inside a midnight control room — a single electric accent that wakes up an othe	roobert	#cfff69 #6289ff #051923 #004853	playful,experimental,retro,startup,consulting,logistics
A-WARE	light	Apothecary editorial on warm parchment. A alpine athlete's apothecary spread: cream paper,	plantin, practice	#000000 #ffffff #f7f5ee #ece9df	healthcare,product,organic,magazine,education,food,wellness
A-dam	light	morning surf over a curated product shelf — a light, airy canvas where honest basics and o	GT Walsheim Pro, sans-serif	#000e1f #0000c5 #1a2635 #000000	fashion,ecommerce,product,natural,beauty,wellness,nature
A24	both	opening title sequence on pure black	NB International Web, NB International Mono Web	#000000 #ffffff #eeeeee #888888	cinematic,music
AATHER	light	Open palm, single flame — quiet luxury held in stillness.	Gestura Text Extra Light, Gestura Text	#000000 #ffffff #f7f7f7 #e8e8e8	minimal,luxury,hospitality,restaurant,beauty,light,nature
ACCOMPANY	light	Editorial broadside on bone canvas. A monochrome typographic system where a 80px light ser	Items-Light, SyndicatGroteskMedium	#ffffff #000000 #0a0a0a	editorial,corporate,brutalist,typography,agency,construction,government
AI Product Generation	light	editorial photography studio on white paper — headline display type as cover, orange as th	Arial, SF Pro Display	#020108 #333333 #5d5c61 #818084	editorial,fashion,product,photography,automotive,illustration,ai
AI for Business	light	Brutalist editorial showroom on warm gray	SuisseIntlCond, SuisseIntl	#000000 #ffffff #e5e5e5 #f3f3f3	architecture,industrial,brutalist,construction,automotive,dashboard,ai
AIUC	light	Alpine underwriting ledger — a white page ruled with hairline rules, topped by a single pa	Almarai, ABC Diatype	#ffffff #000000 #1a1a1a #323232	swiss,architecture,corporate,clinical,legal,automotive,ai
ALIGNE	light	editorial spec sheet on warm charcoal	GT America Mono, Nimbus Sans Extended	#24170f #151515 #ffffff #ececec	luxury,fashion,industrial,organic,natural,food,beauty
ALSO	light	Bicycle zine on cream paper	ABCCameraPlainVariable, SerialC-Heavy	#fcf7fa #ffffff #f1f1f1 #000000	kids,ecommerce,product,organic,magazine,sport,automotive
AREA 17	light	Monochrome editorial struck yellow — a typographic monolith on white marble interrupted by	ui-sans-serif, Suisse Intl	#ffffff #1a1a1a #000000 #e6e6e6	editorial,swiss,typography,agency,government,news,law firm
ARKET	light	Scandinavian white gallery. Full-bleed photography on bone-white canvases, hairline rules,	Arket Sans, arketSansMono	#000000 #ffffff #eaeae8 #e0e0e0	fashion,ecommerce,beauty,sport,real estate,furniture,jewelry
ARTU	light	Gallery wall on white paper. ARTU treats the browser as a museum spread — massive product 	HelveticaNeuePro	#ffffff #000000 #d7ff66 #ff1313	luxury,fashion,architecture,ecommerce,hospitality,hotel,restaurant
ARTWORLD	light	fashion masthead on white linen	Graphik Light, Cardinal Fruit (and Italic / Classic Italic variants)	#000000 #ffffff	swiss,luxury,fashion,travel,typography,magazine,agency
ATMOS	light	violet horizon above white void	_NewYork, DM Sans	#0825c6 #ffffff #000000	hotel,space,nature
Aaply	light	Digital sketchpad with electric highlighter	Times, Poppins	#e6e51e #f34646 #466cf3 #ff8562	kids,children,playful,product,colorful,illustration,startup
Aaron Poe & Co	light	Quiet white gallery — coral pink whispers float in vast considered silence, framed only by	-apple-system, Geist	#ea587d #ffffff #f2f2f2 #d9d8d4	friendly,agency,education,beauty,nonprofit,law firm,wedding
Aaru	dark	Particle-field observatory at midnight	abcOracle, gtPantheon	#000000 #0a0a0a #18181b #ffffff	dark,light,ai,science,space,energy
Abel	light	Cream paper, black ink, breathing room — an editorial lookbook that smells of perfume.	Founders Grotesk, Founders Grotesk Mono	#030303 #ffffff #f6eada #cccccc	editorial,fashion,ecommerce,product,photography,beauty,pharma
Abetterlou	dark	Embers on saddle leather — warm cream typography glowing against deep coffee-black, with a	PP Neue Montreal	#140b00 #0b0600 #fff1e0 #f1f1f1	natural,sport,warm,coffee
Ableton	light	Editorial workshop on stark white. White paper, black Futura, one blue pen mark for intera	futura-pt	#000000 #ffffff #eeeeee #0000ff	architecture,tech,photography,education,gaming,music,automotive
Aboard	both	Editorial field journal under industrial light	ui-sans-serif, Tobias	#de4c00 #efa680 #fffefb #f3f2ee	editorial,industrial,ai,blog
Aboard	light	pastel paper notebook on a white desk	system-ui, sans-serif	#fafafa #ffffff #262626 #757577	corporate,saas,pastel,dashboard,startup
Acceptandproceed	light	editorial broadsheet on warm paper	Messina Sans, Letterformvariations 04 Dmgx	#000000 #f9f7f3 #ecebe7 #ffffff	editorial,agency,construction,nonprofit,government,enterprise,consulting
Acctual	light	Paper invoice on frosted glass	sans-serif, Open Runde	#1e1e1e #0f0f0f #0d111b #666666	corporate,fintech,pastel,legal,banking,nonprofit,insurance
Acme Cups New Zealand	light	editorial ceramics gallery. A stark white-walled room with a single massive black headline	Helvetica Neue	#000000 #fefefe #e3e2e2 #c3c3c3	ecommerce,product,restaurant,education,museum,news,community
Acne Studios	light	Minimalist gallery white space with bold photographic moments — a fashion magazine laid fl	Helvetica Monospaced Pro, Acne Studios (custom wordmark)	#0018a8 #000000 #6b6b6b #ffffff	minimal,luxury,fashion,ecommerce,photography,magazine,beauty
Acolorbright	light	White gallery walls around black-ink editorial type	RiformaLLWeb, Arial	#1a1a1a #262626 #666666 #999999	typography,agency,monochrome,illustration,church
Active Theory	dark	cosmic void with a single luminous portal — deep-space command deck where chrome whispers 	nbarchitekt, Times	#000000 #ffffff #4d4d4d #808080	dark,cinematic,experimental,agency,construction,gaming,real estate
Ada	light	Daylight gallery with pastel punctuation — a quiet off-white room where four jewel-tone co	Roobert	#0a0b0c #f9f9f9 #ffffff #d8d8d8	architecture,children,playful,colorful,pastel,legal,gaming
Adaline	light	botanist's specimen journal beside a developer's terminal — warm linen pages, sage ink ann	akkurat, Newsreader	#0a1d08 #2b390a #4a6d47 #2b6b5e	clinical,natural,experimental,dashboard,ai,science,nature
Adam Lippes	light	Monochrome editorial atelier on cream paper — a Vogue spread where the layout grid, not th	Optima, Arial	#fefcf8 #ffffff #000000 #403f3e	luxury,fashion,ecommerce,photography,magazine,beauty,sport
Adanola	light	Editorial lookbook on white paper. A fashion editorial spread where typography and photogr	Favorit, Nunito Sans	#000000 #ffffff #e5e7eb #f0efe7	fashion,ecommerce,product,beauty,wellness,sport,nonprofit
Adaptive ML	light	Printed monograph on warm cream paper. A confident editorial monochrome where the only col	Egyptienne F LT, Diatype	#272421 #edebe8 #e3e3e2 #eeeeed	monochrome,ai
Adcker	light	Giant brutalist poster on warm museum paper	nhm, psl	#191919 #efedea #e3e1de	architecture,brutalist,typography,agency,construction,museum
Adnaut	dark	After-hours mission control lit by sodium lamps	Archivo, Geist	#ffe900 #00ff1a #1f1d01 #282828	cinematic,agency,gaming,3d
Adopt	light	Editorial broadsheet on warm paper. A cream canvas with one near-black ink, a tall narrow 	ITCGaramondStdLightNarrow, PPNeueMontreal	#f4f1ec #1e1e1e #8c8c8c #000000	editorial,typography,magazine,agency,legal,government,church
Adora	light	impressionist museum behind frosted glass	PolySans, Plus Jakarta Sans	#592eff #21164c #353241 #5f5f69	colorful,pastel,dashboard
Advene	light	editorial fashion spread on warm parchment — a gallery catalog that happens to sell handba	Signifier, Pitch	#dfe0db #eeefea #ffffff #000000	editorial,luxury,fashion,ecommerce,travel,beauty,jewelry
Aesop	light	NGLORA - Apothecary's Formulary. A meticulously organized space where typography and produ	SuisseIntl, Zapf-Humanist	#fffef2 #333333 #000000 #252525	swiss,luxury,organic,natural,legal,education,beauty
Aevi Wellness	light	Nordic apothecary, weightless type. A muted slate-blue accent interrupts an otherwise achr	Primary Font, Primary Sans (custom, serif-influenced grotesque)	#d5e0ea #a3bfdb #231f20 #000000	luxury,healthcare,natural,beauty,wellness,nature,pharma
Affinity	dark	floating gallery in a black void — a dark editorial stage where one green accent is the on	Times (system), Affinity Serif Variable	#a7f175 #000000 #211d1d #0f1015	community
Afterglo	light	Editorial boudoir printed on cream paper — quiet, tactile, typographic.	Aeonik, Cardinal Fruit	#f3f2ec #e3e4df #cbc9bd #131313	editorial,luxury,fashion,magazine,education,food,beauty
Agence Foudre	light	Magazine splash page in lipstick pink.	Beni, Clash Grotesk	#db3c8a #00522d #fce5df #fff8f6	fashion,kids,children,playful,colorful,magazine,agency
Agence K72	dark	theater marquee at midnight — a single electric spark cutting through cinematic black	Lausanne	#000000 #ffffff #4d4d4d #d3fd50	dark,cinematic,swiss,industrial,corporate,agency,neon
Agencja brandingowa	light	Editorial white gallery with black ink typography	247 grotesk, Ntbau	#ffffff #000000 #1f1f1f #333333	editorial,industrial,corporate,typography,agency,education,government
AgentQL	dark	Aurora glow over a midnight terminal	Inter, IBM Plex Mono	#0b0c0e #0e111b #0d172b #12244f	tech,automotive,developer,ai
Agronomy Workshop	light	newsprint zine taped to a workshop wall	Gerstner Programm FSL Regular, OT Neue Montreal Medium Semi Squeezed	#0076ff #f4eb59 #c3d7ee #ffffff	fashion,industrial,ecommerce,product,magazine,logistics,jewelry
Air	dark	midnight sky through glass sculpture	Control, Control Compressed	#ffffff #f5f5f5 #1b1b1b #000000	dark,cinematic,architecture,industrial,saas,music,light
Aira	light	Sunday broadsheet at midnight — warm photography, ink type, whisper-quiet UI.	Gestura (custom serif), Inter	#fafafb #2c2c2b #1f1f1f #111111	hotel,saas,banking,insurance,news
Airbnb	light	Editorial masthead on white paper — the page speaks through scale and silence, not color o	Airbnb Cereal VF	#222222 #ffffff #f7f7f7 #ebebeb	editorial,hospitality,hotel,travel,education,real estate,nonprofit
Airbnb	light	Quiet white gallery wall with one coral-red bookmark	Airbnb Cereal VF	#ff385c #e00b41 #222222 #6a6a6a	luxury,ecommerce,hospitality,hotel,restaurant,travel,real estate
